System,Mission Number,Mission Text
VoiceOnly_#0,0,"Navigate to page 1, paragraph 1, line 3."
VoiceOnly_#0,1,"Fix \""lare\"" to \""large\"". (page 1, paragraph 1, line 3)"
VoiceOnly_#0,2,"Navigate to page 1, paragraph 2, line 8."
VoiceOnly_#0,3,"Add \""boy\"" after \""little\"". (page 1, paragraph 2, line 8)"
VoiceOnly_#0,4,"Navigate to page 1, paragraph 3, line 13-14."
VoiceOnly_#0,5,"Copy from \""for\"" to \""Reed\"". (page 1, paragraph 3, line 13-14)"
VoiceOnly_#0,6,"Navigate to page 1, paragraph 4, line 21."
VoiceOnly_#0,7,"Past after \""lady\"". (page 1, paragraph 4, line 21)"
VoiceOnly_#0,8,"Navigate to page 2, paragraph 5, line 23."
VoiceOnly_#0,9,"Replace \""always\"" to \""sometimes\"". (page 2, paragraph 5, line 23)"
VoiceOnly_#0,10,"Page 2, paragraph 6, line 31."
VoiceOnly_#0,11,"Fix \""sinle\"" to \""single\"". (page 2, paragraph 6, line 31)"
VoiceOnly_#0,12,"Navigate to page 2, paragraph 7, line 36-37."
VoiceOnly_#0,13,"Delete from \""That\"" to \""pity\"". (page 2, paragraph 7, line 36-37)"
VoiceGaze_#0,0,"Navigate to page 1, paragraph 1, line 2."
VoiceGaze_#0,1,"Replace \""once\"" to \""twice\""."
VoiceGaze_#0,2,"Navigate to page 1, paragraph 2, line 6."
VoiceGaze_#0,3,"Fix \""underear\"" to \""underwear\""."
VoiceGaze_#0,4,"Navigate to page 1, paragraph 3, line 1."
VoiceGaze_#0,5,"Add \""father\"" after \""mother\""."
VoiceGaze_#0,6,"Navigate to page 2, paragraph 5, line 3."
VoiceGaze_#0,7,"Fix \""siple\"" to \""supple\""."
VoiceGaze_#0,8,"Navigate to page 2, paragraph 6, line 2."
VoiceGaze_#0,9,"Copy from \""You\"" to \""is\""."
VoiceGaze_#0,10,"Navigate to page 2, paragraph 7, line 1."
VoiceGaze_#0,11,"Paste after \""another\""."
VoiceGaze_#0,12,"Navigate to page 2, paragraph 9, line 2."
VoiceGaze_#0,13,"Delete from \""he\"" to \""met\""."
VoiceMouse_#0,0,"Navigate to page 1, paragraph 1, line 3-4."
VoiceMouse_#0,1,"Delete from \""The\"" to \""revenge\""."
VoiceMouse_#0,2,"Navigate to page 1, paragraph 2, line 6."
VoiceMouse_#0,3,"Replace \""dry\"" to \""wet\""."
VoiceMouse_#0,4,"Navigate to page 1, paragraph 3, line 1."
VoiceMouse_#0,5,"Fix \""behnd\"" to \""bend\""."
VoiceMouse_#0,6,"Navigate to page 2, paragraph 5, line 3."
VoiceMouse_#0,7,"Add \""princess\"" after \""Cinderella\""."
VoiceMouse_#0,8,"Navigate to page 2, paragraph 6, line 1-2."
VoiceMouse_#0,9,"Copy from \""Opening\"" to \""all\""."
VoiceMouse_#0,10,"Navigate to page 2, paragraph 7, line 1."
VoiceMouse_#0,11,"Paste before \""page\""."
VoiceMouse_#0,12,"Navigate to page 2, paragraph 8, line 2."
VoiceMouse_#0,13,"Fix \""fially\"" to \""finally\""."
MouseAndKeyboard_#0,0,"Navigate to page 1, paragraph 1, line 5."
MouseAndKeyboard_#0,1,"Copy from \""how\"" to \""been\""."
MouseAndKeyboard_#0,2,"Navigate to page 1, paragraph 2, line 1."
MouseAndKeyboard_#0,3,"Paste after \""Family\""."
MouseAndKeyboard_#0,4,"Navigate to page 1, paragraph 2, line 1."
MouseAndKeyboard_#0,5,"Fix \""slpt\"" to \""slept\""."
MouseAndKeyboard_#0,6,"Navigate to page 1, paragraph 3, line 3."
MouseAndKeyboard_#0,7,"Replace \""book\"" to \""pen\""."
MouseAndKeyboard_#0,8,"Navigate to page 2, paragraph 5, line 5."
MouseAndKeyboard_#0,9,"Fix \""woan\"" to \""won\""."
MouseAndKeyboard_#0,10,"Navigate to page 2, paragraph 7, line 4-5."
MouseAndKeyboard_#0,11,"Delete from \""I\"" to \""profile\""."
MouseAndKeyboard_#0,12,"Navigate to page 2, paragraph 9, line 3."
MouseAndKeyboard_#0,13,"Add \""smile\"" after \""love\""."
VoiceOnly_#1,0,"Navigate to page 1, paragraph 1, line 3."
VoiceOnly_#1,1,"Fix \""lare\"" to \""large\"". (page 1, paragraph 1, line 3)"
VoiceOnly_#1,2,"Navigate to page 1, paragraph 2, line 8."
VoiceOnly_#1,3,"Add \""boy\"" after \""little\"". (page 1, paragraph 2, line 8)"
